Observation,Myers,Human A,Human B,Human C,Truth,Claude 1 (10/3),Claude 2 (10/11),Claude 3 (10/11),Claude 4 (10/3),Claude 5 (10/11),Claude 6 (10/11),Claude 7 (10/11),Claude Modal,Bing 1 (10/23),Bing 2 (10/23),Bing 3 (10/23),Bing 4 (10/24),Bing 5 (10/23),Bing 6 (10/24) (1),Bing 7 (10/24) (2),Bing Modal,,,Truth,Claude Modal,Bing Modal
“I forgot until now the fact that we gathered in one place together”,S,S,S,S,S,H,H,S,S,C,S,H,S,S,B,S,S,S,S,S,S,,,S,S,S
Gathering,S,S,S,X,S,S,C,C,H,S,C,B,C,B,S,X,S,B,S,S,S,,,S,C,S
"Time at the little red house—small space with informal meetings, super spiritual and vulnerable",S,B,H,B,B,C,C,S,S,S,H,B,S,B,B,B,C,B,B,C,B,,,B,S,B
“everybody in crave showed up with true selves”,S,S,H,H,H,S,H,H,S,H,S,S,S,H,S,H,H,H,H,H,H,,,H,S,H
The power and influence of Michele-- Only took one conversation with her and we bought in to it,H,H,S,H,H,P,S,P,S,P,S,P,P,P,P,P,P,H,P,P,P,,,H,P,P
"Vulnerability—being in a safe place, being authentic",S,S,H,H,H,S,H,S,S,S,C,B,S,S,S,H,H,S,S,S,S,,,H,S,S
"Little red house talks, quickly where people got to all speak about what we believe in spiritually",S,S,C,S,S,X,C,S,S,C,S,H,S,C,C,C,C,C,C,C,C,,,S,S,C
The fact that we felt comfortable enough to share that is really meaningful,S,S,S,H,S,S,H,S,S,S,C,B,S,S,H,S,S,S,S,S,S,,,S,S,S
Vulnerability was meaningful there and lead me to being super vulnerable throughout,S,S,S,H,S,S,H,S,S,H,C,C,S,S,H,H,H,S,S,S,S,,,S,S,S
"Black/African-American experiences—culture shocks, able to address these but not always get the answers",P,C,C,C,C,C,C,C,C,H,P,C,C,C,C,C,C,C,C,C,C,,,C,C,C
"Culture shocks: gather with food, food that everyone eats is not the same, asking the invitees what you would like",S,C,C,C,C,C,C,C,C,C,C,B,C,C,C,C,C,C,C,C,C,,,C,C,C
“What’s up with the Rabbit Food??”,S,C,C,X,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,,,C,C,C
Speakers with more privilede and had more access to resources,P,F,F,P,F,P,F,F,C,F,C,P,F,P,P,F,F,F,F,F,F,,,F,F,F
The way they solved problems made us feel angered that we couldn’t do that,H,X,S,S,S,C,H,P,C,F,C,B,C,H,H,F,F,H,H,F,H,,,S,C,H
We felt like lab rats when the topic of racism came to the forefront,H,C,C,C,C,C,H,P,P,C,C,F,C,S,P,P,P,C,C,H,P,,,C,C,P
The way we were raised as Christian—could not associate drinking in the church,C,C,C,C,C,C,C,C,C,C,H,B,C,C,C,C,C,C,C,C,C,,,C,C,C
Now with Crave we can do things like that “Pints and parables”,S,H,S,S,S,C,C,C,C,C,H,B,C,C,S,C,C,C,C,C,C,,,S,C,C
Beer and wine before dinner,S,X,N,X,X,C,C,C,C,C,H,S,C,C,C,C,C,C,C,C,C,,,X,C,C
"“I always felt heard, I always felt respected”",H,S,H,H,H,S,C,C,C,C,H,S,C,S,S,S,S,S,S,S,S,,,H,C,S
"For the first time, “woah I hear what you’re saying and even though I don’t have the answer I value that”",H,S,S,H,S,S,H,S,S,S,S,S,S,S,H,S,S,S,S,S,S,,,S,S,S
“Come as you are”,S,H,H,H?,H,S,C,S,S,H,H,S,S,S,C,H,S,H,S,H,S,,,H,S,S
Sharing spirituality and feeling where you are in life and what I might believe and how that connects with that,S,S,C,H,H,H,C,S,S,C,S,S,S,C,C,C,C,C,C,C,C,,,H,S,C
Safety in this space: previous experience vs now,S,H,H,X,H,S,H,S,S,S,S,S,S,S,H,S,S,S,S,S,S,,,H,S,S
In crave lets live and learn from each other and grow,H,S,S,H,S,S,H,S,S,H,S,H,S,H,H,H,S,H,S,H,H,,,S,S,H
“we don’t shy away from the discomfort”,S,X,H,X,X,S,H,S,S,H,S,S,S,S,H,H,H,H,S,S,H,,,X,S,H
“To be welcome in a Sunday school class of White people that wanted to hear what you had to say”,P,C,C,H,C,S,C,S,S,S,H,H,S,S,C,S,S,S,S,S,S,,,C,S,S
“Situations that open us up to relationships”,S,S,S,X,S,S,S,S,S,S,H,H,S,S,S,S,S,S,S,S,S,,,S,S,S
People who take the time to listen to our story,S,H,S,H,H,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,,,H,S,S
Ask questions that you may not have felt comfortable about race and gender etc,H,C,C,H,C,S,H,S,S,S,H,S,S,S,S,C,S,C,S,S,S,,,C,S,S
Feels safe enough to ask in ways that you now feel comfortable,S,X,H,H,H,S,H,S,S,S,H,S,S,S,S,S,S,S,S,S,S,,,H,S,S
Never felt judged,S,H,H,H,H,S,H,S,S,S,B,F,S,S,S,S,S,S,S,S,S,,,H,S,S
"No one is out here to hurt anyone, just tryin to learn and get better and do good",H,S,S,H,S,S,H,S,S,S,H,H,S,S,S,H,S,H,S,S,S,,,S,S,S
"Understanding of whether our belief system or culture is different, we’re still on the same journey",C,C,C,C,C,H,C,S,S,C,S,H,S,C,C,C,C,C,C,C,C,,,C,S,C
Let go of the outcomes or specifics and just know that there is a journey,H,X,X,S,X,H,C,S,S,C,S,S,S,H,H,H,H,H,H,H,H,,,X,S,H
How does the idea of being in a safe group translate into supporting your professional life?,S,S,S,H,S,S,H,H,H,H,H,S,H,X,X,X,X,H,H,H,X,,,S,H,X
Vulnerability took away the sense of competition: being able to say I’m not good at this is how you can look at getting better,H,H,H,H,H,S,H,S,S,H,H,S,S,X,H,H,H,H,H,H,H,,,H,S,H
You’re still developing,H,H,H,H,H,H,H,H,H,H,H,S,H,X,H,H,X,H,H,H,H,,,H,H,H
“Gets rid of all the bullsh*t”,X,X,X,X,X,S,H,S,S,H,H,S,S,S,H,H,X,H,H,H,H,,,X,S,H
You don’t have to present or code switch; you get to the real and get better at the real,P,X,S,H,S,S,H,S,S,H,S,H,S,S,H,H,X,H,H,H,H,,,S,S,H
"When we know how to meet people’s needs then we can bridge the gap, when you see and share the vulnerability you can help each other grow",S,S,S,H,S,S,H,S,S,S,P,H,S,S,S,S,X,S,H,S,S,,,S,S,S
Other crave leaders have helped me so much,H,H,S,S,S,S,S,S,S,S,P,H,S,S,S,S,X,S,S,S,S,,,S,S,S
We have all built crave together over the years,S,H,S,B,S,S,S,S,S,B,H,B,S,B,B,S,X,S,S,S,S,,,S,S,S
Help from peer to peer vs only from the expert giving the information,S,S,H,H,H,S,S,S,S,S,S,P,S,H,S,S,X,S,S,S,S,,,H,S,S
“Connection with our group that really felt like it was something different”,S,S,S,S,S,S,S,S,S,S,F,P,S,S,S,S,X,S,S,S,S,,,S,S,S
“I loved my group… when it came to my leaders we became like sisters and brothers”,S,S,S,S,S,S,S,S,S,S,H,P,S,S,S,S,X,S,S,S,S,,,S,S,S
Felt like family,S,S,S,S,S,S,S,S,S,S,S,H,S,S,S,S,X,S,S,S,S,,,S,S,S
Helping us to gain the confidence to be the experts that we are,H,H,H,H,H,H,H,H,H,H,F,H,H,H,H,H,X,H,H,H,H,,,H,H,H
It wasn’t until I went through Crave until I was able to confidently say “yes I am a leader”,H,H,H,S,H,H,H,H,H,H,S,H,H,H,H,H,X,H,H,H,H,,,H,H,H
“confidence comes from the competence”,H,X,H,H,H,H,H,H,H,H,S,F,H,H,H,H,X,H,H,H,H,,,H,H,H
"That’s what makes the growth equitable, throughout crave I felt like we created the path… that let me know that as the leaders we can create the pathway in terms of where we go",P,H,P,P,P,P,P,P,P,B,S,B,P,H,H,H,X,H,H,H,H,,,P,P,H
"When we left we could get what we needed, everyone made sure that they got what they needed from the situation",H,H,H,H,H,P,P,P,P,S,H,H,P,F,H,H,X,S,F,S,F,,,H,P,F
Even the facilitator grew through the process,H,H,H,S,H,P,H,H,H,H,S,H,H,H,H,H,X,H,H,H,H,,,H,H,H
“we created a path”,S,X,P,H,X,P,P,P,P,B,S,S,P,B,B,H,X,P,H,H,H,,,X,P,H
The group is always figuring out what the group needs,H,S,S,S,S,P,P,P,P,S,S,S,P,H,S,S,X,S,S,S,S,,,S,P,S
Tracking data and measurements and finances,F,F,F,F,F,B,F,F,F,F,H,S,F,F,F,F,F,F,F,F,F,,,F,F,F
"It’s easy to start with your heart, leader encouraged people to have the viable and sustainable pieces",H,S,H,S,S,F,F,F,F,F,S,P,F,F,F,F,H,H,F,H,F,,,S,F,F
"Allison Fairfax was about telling your story, using your story elements into something structured so you have a purpose about what you shared",P,C,S,H,H,H,H,H,H,H,S,P,H,C,H,H,H,C,H,H,H,,,H,H,H
Telling your story in a way that people care—that was so impactful,P,S,S,C,S,H,H,H,H,H,F,P,H,C,H,H,H,C,H,H,H,,,S,H,H
Prof dev sessions helped me to think about things differently—find the difference between strategy and operation,H,S,H,H,H,H,H,H,H,H,S,H,H,H,H,H,H,H,H,H,H,,,H,H,H
Define the problem and brainstorming vs action,X,S,H,X,X,H,H,H,H,H,S,H,H,H,H,H,H,P,H,H,H,,,X,H,H
Try to understand how different people think,S,C,C,S,C,H,H,H,H,H,S,S,H,H,S,S,H,C,H,H,H,,,C,H,H
"Prof dev science on anger—when I heard his story and the things that he went through, the speaker had anger and transformed it",H,H,S,H,H,H,H,H,H,H,S,S,H,H,H,H,H,H,H,H,H,,,H,H,H
Taking energy and transforming it into something that you want—channel anger to get the outcome that you want,P,H,H,H,H,H,H,H,H,H,S,S,H,H,H,H,H,H,H,H,H,,,H,H,H
"“MLK on the outside, MalcomX on the inside” get the outcome you want",P,X,P,H,P,H,H,H,H,H,S,P,H,C,H,C,P,P,H,C,C,,,P,H,C
Coming to Crave—,X,H,X,X,X,H,H,H,S,H,F,P,H,C,X,X,X,X,H,H,X,,,X,H,X
I was in a place of timid/don’t know how to step into it,H,X,H,X,X,H,H,H,S,H,S,S,H,H,H,H,X,H,H,H,H,,,X,H,H
im in a bad place and want to turn this around,H,X,H,H,H,H,H,H,S,H,S,S,H,H,H,H,X,H,H,H,H,,,H,H,H
fear of not knowing how to make ends meet,F,F,H,C,F,F,F,F,S,H,S,S,F,F,F,F,X,F,F,H,F,,,F,F,F
people who want to support you is the difference between sink and swim,S,S,S,X,S,S,S,S,S,S,H,F,S,S,S,S,X,S,S,S,S,,,S,S,S
linked to access? Connected to fear and a different thing,X,S,P,X,X,S,H,F,S,H,S,F,S,P,X,X,X,P,F,P,P,,,X,S,P
Thinking about belonging? What “bucket”,S,X,S,S,S,X,H,H,S,S,S,F,S,C,X,X,X,C,C,C,C,,,S,S,C
"Crave gave me hope, hope is a remedy to fear",H,S,S,S,S,H,H,H,S,H,H,S,H,H,H,H,X,H,S,S,H,,,S,H,H
"The emotions were accepted and we could talk about them, what is the emotion here and what am I struggling with, that is not really a lot of communities that allow us to explore them",S,S,H,H,H,H,H,S,S,S,S,S,S,S,S,S,X,S,S,S,S,,,H,S,S
"Church for me has been one of shame, there is no growth in that, it’s all direction",H,C,C,X,C,C,C,C,C,C,F,S,C,C,C,C,X,C,C,C,C,,,C,C,C
"In traditional professional development place it’s all logical, there is no space for creative and vulnerable processes",H,X,P,X,X,C,H,H,C,C,H,P,C,H,H,H,X,H,C,H,H,,,X,C,H
"It’s such a fixed mindset when you think about church and tradition, “church feels fake to me, it’s built off of rules but rules then change” think like LGBTQ, drinking, being black—all these things that were once wrong are now right? And it’s built off of what’s best for people’s pockets, not what’s best for people.",C,C,C,X,C,C,C,C,C,C,S,H,C,C,C,C,X,C,C,C,C,,,C,C,C
"That’s one thing that separates crave from other ministry possibilities, get to see real work—work that’s not doing harm and not perpetuating harm",S,S,S,S,S,C,C,C,C,C,S,H,C,C,C,S,X,N,C,C,C,,,S,C,C
Crave is come as you are and also take what you want,S,H,S,S,S,S,C,S,P,H,S,H,S,C,C,S,X,S,C,H,C,,,S,S,C
We’ve all had different professional experiences and have taken different things from each,H,S,H,H,H,S,H,H,H,H,H,B,H,H,H,H,X,H,H,H,H,,,H,H,H
Take it or leave it,X,X,X,X,X,S,C,S,P,S,S,H,S,C,C,X,X,S,C,H,C,,,X,S,C
Feeling safe enough to say thanks for bringing people in,S,S,H,S,S,S,P,P,P,S,H,S,S,S,S,S,X,S,S,H,S,,,S,S,S
Being listened to and heard—saying things like “we could have benefited from this more” and seeing things change in real time,H,S,P,H,H,S,P,P,P,S,H,F,P,S,S,P,X,P,S,S,S,,,H,P,S
"If the organization is willing and able to listen and actually change, then I feel like I belong because im respected and I have access to this organization—allow us to make space for people with other gender identities",H,S,P,S,S,P,P,P,P,P,S,S,P,P,P,P,X,P,S,S,P,,,S,P,P
"I think about power, how many times that we were able to push back against white male middle class construct, when I’m with crave I feel like people are going to be able to hear me",P,S,P,S,S,P,P,P,P,P,P,S,P,P,P,P,X,P,P,P,P,,,S,P,P
I don’t know if I could’ve done peace and justice institute without crave,X,X,H,S,S,P,S,S,S,H,S,S,S,H,P,S,X,S,P,P,P,,,S,S,P
Diversity committee (old white people) “I have never been so honest with white people in my life”,P,C,C,S,C,P,P,P,S,S,F,S,S,C,P,S,X,C,P,H,C,,,C,S,C
It was because of crave that I can show up and be honest in this space,P,S,S,S,S,P,H,S,S,H,S,H,S,H,P,S,X,S,P,C,P,,,S,S,P
"Then we think about Now What—shows Crave’s willingness to continue to grow, we don’t have all the answers, always being challenged to grow",H,S,S,H,S,P,P,H,P,H,S,F,P,H,H,H,X,H,H,S,H,,,S,P,H
Mobility,H,X,B,X,X,B,F,F,S,P,S,S,S,H,H,X,X,B,H,H,H,,,X,S,H
Motivated us to make a change,H,H,H,H,H,H,H,H,H,H,S,B,H,H,H,H,X,H,H,H,H,,,H,H,H
Michele and Shelly—literally my whole table said we had one convo with Michele and we were hooked,H,S,S,C,S,P,S,P,S,P,S,S,S,P,S,S,P,S,P,H,P,,,S,S,P
"We talked about our lives, our passions, she didn’t talk about herself or crave",H,H,S,X,S,,S,S,S,P,H,F,S,C,S,S,S,S,S,P,S,,,S,S,S
"Crave is about YOU and YOUR project, you create the collaborative growth etc",H,H,H,B,H,P,H,H,S,H,S,S,H,C,H,H,S,H,H,S,H,,,H,H,H
“God is doing this through me”,X,C,C,X,C,P,C,S,C,C,S,F,C,C,C,C,C,C,C,H,C,,,C,C,C
I’ve seen time and time again how this network has done the big and the small,S,S,S,S,S,S,S,S,S,S,S,F,S,S,S,S,S,S,S,S,S,,,S,S,S
"I didn’t believe in that before Crave, I didn’t believe that people would just help you for no reason",S,S,S,S,S,S,S,S,S,S,H,S,S,S,S,S,S,S,S,S,S,,,S,S,S
I didn’t believe that people genuinely cared without getting something out of it,S,S,H,S,S,S,S,S,S,S,S,H,S,S,S,S,S,S,S,S,S,,,S,S,S
"To say charity is apart of it does not fit at all, it’s so much about individuality",H,X,H,H,H,S,H,H,H,H,S,B,H,C,C,X,H,H,C,H,C,,,H,H,C
Investment,F,F,F,F,F,F,H,H,S,H,H,S,H,F,F,F,F,F,F,F,F,,,F,H,F
"Platform for promotion—you’re allowed to be a beginner, you’re allowed to not know and you’re allowed to not have it all figured out, willingness to be a beginner and not know all the answers",H,H,P,H,H,H,H,H,S,H,S,S,H,H,H,H,H,H,H,H,H,,,H,H,H
"People are longing for the collaboration—now that crave has existed for 4 years, so many people are talking about it, are being excited about it—makes me believe God is still working to lead this group together",S,S,S,B,S,S,S,S,S,S,S,F,S,S,C,C,C,C,S,S,C,,,S,S,C
"You don’t necessarily know what you’re going to get out of things but in this space you’re allowed to grow, that’s what differs us from other professional development spaces",H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,,,H,H,H
"Life changing Connections made from the network, from the presenters",S,S,S,S,S,S,S,S,S,S,H,S,S,S,S,S,S,S,S,S,S,,,S,S,S
"ELAR institute, mission increase, victory cup,",S,S,S,X,S,X,S,S,S,S,S,F,S,H,S,B,S,B,F,H,H,,,S,S,H
Internally we assisted each other with our projects and stuff,S,S,S,S,S,S,S,S,S,S,S,H,S,S,S,S,S,S,S,S,S,,,S,S,S
"Self-care aspect, how to tend to your own needs and connect to yourself so that you can show up and keep showing up, how you can keep doing that work",H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,,,H,H,H
Love! We have to love what you do and yourself to be able to serve others,H,H,H,H,H,H,H,H,,,H,H,H,S,C,C,C,C,S,H,C,,,H,H,C
,,,,,,0,88,297,228,72,39,3,19,,,,,,,,,,,,,
,,,,,,746,,,,,,,,,,,,,,,,,,,,
,,,,,,0,0.0139151435,0.1585021814,0.09340971329,0.009315096062,0.00273307506,0.00001617204177,0.0006486785645,,,,,,,,,,,,,